date,lon,lat,SPEI,region
2018-10-16,-15.75,23.75,0.08066006,dakhla-oued_ed-dahab
2018-11-16,-15.75,23.75,-0.51405793,dakhla-oued_ed-dahab
2018-12-16,-15.75,23.75,-3.5508146,dakhla-oued_ed-dahab
2019-01-16,-15.75,23.75,-0.9940001,dakhla-oued_ed-dahab
2019-02-15,-15.75,23.75,-1.3135937,dakhla-oued_ed-dahab
2019-03-16,-15.75,23.75,-0.49832854,dakhla-oued_ed-dahab
2019-04-16,-15.75,23.75,-0.234207,dakhla-oued_ed-dahab
2019-05-16,-15.75,23.75,-2.121593,dakhla-oued_ed-dahab
2019-06-16,-15.75,23.75,-0.26063988,dakhla-oued_ed-dahab
2019-07-16,-15.75,23.75,-0.80137545,dakhla-oued_ed-dahab
2019-08-16,-15.75,23.75,-1.0612459,dakhla-oued_ed-dahab
2019-09-16,-15.75,23.75,0.90490186,dakhla-oued_ed-dahab
2019-10-16,-15.75,23.75,-0.39710596,dakhla-oued_ed-dahab
2019-11-16,-15.75,23.75,-0.29355887,dakhla-oued_ed-dahab
2019-12-16,-15.75,23.75,-1.5172743,dakhla-oued_ed-dahab
2020-01-16,-15.75,23.75,-1.1522522,dakhla-oued_ed-dahab
2020-02-15,-15.75,23.75,-2.0375018,dakhla-oued_ed-dahab
2020-03-16,-15.75,23.75,-1.078156,dakhla-oued_ed-dahab
2020-04-16,-15.75,23.75,-1.5298617,dakhla-oued_ed-dahab
2020-05-16,-15.75,23.75,-2.121593,dakhla-oued_ed-dahab
2020-06-16,-15.75,23.75,-0.26063988,dakhla-oued_ed-dahab
2020-07-16,-15.75,23.75,-0.6782409,dakhla-oued_ed-dahab
2020-08-16,-15.75,23.75,-0.29593968,dakhla-oued_ed-dahab
2020-09-16,-15.75,23.75,-1.2057508,dakhla-oued_ed-dahab
2020-10-16,-15.75,23.75,0.18585949,dakhla-oued_ed-dahab
2020-11-16,-15.75,23.75,-1.6443925,dakhla-oued_ed-dahab
2020-12-16,-15.75,23.75,-0.828168,dakhla-oued_ed-dahab
2021-01-16,-15.75,23.75,-1.1522522,dakhla-oued_ed-dahab
2021-02-15,-15.75,23.75,-1.021716,dakhla-oued_ed-dahab
2021-03-16,-15.75,23.75,-0.51452905,dakhla-oued_ed-dahab
2021-04-16,-15.75,23.75,-1.5298617,dakhla-oued_ed-dahab
2021-05-16,-15.75,23.75,-1.0986627,dakhla-oued_ed-dahab
2021-06-16,-15.75,23.75,-0.7671541,dakhla-oued_ed-dahab
2021-07-16,-15.75,23.75,-0.80137545,dakhla-oued_ed-dahab
2021-08-16,-15.75,23.75,-1.0612459,dakhla-oued_ed-dahab
2021-09-16,-15.75,23.75,0.6852815,dakhla-oued_ed-dahab
2021-10-16,-15.75,23.75,-1.2787552,dakhla-oued_ed-dahab
2021-11-16,-15.75,23.75,-0.36060816,dakhla-oued_ed-dahab
2021-12-16,-15.75,23.75,1.2549403,dakhla-oued_ed-dahab
2022-01-16,-15.75,23.75,-1.5050172,dakhla-oued_ed-dahab
2022-02-15,-15.75,23.75,-0.57906145,dakhla-oued_ed-dahab
2022-03-16,-15.75,23.75,-0.08974773,dakhla-oued_ed-dahab
2022-04-16,-15.75,23.75,-0.7430052,dakhla-oued_ed-dahab
2022-05-16,-15.75,23.75,-1.6852336,dakhla-oued_ed-dahab
2022-06-16,-15.75,23.75,-0.7671541,dakhla-oued_ed-dahab
2022-07-16,-15.75,23.75,-0.039894924,dakhla-oued_ed-dahab
2022-08-16,-15.75,23.75,-0.60640246,dakhla-oued_ed-dahab
2022-09-16,-15.75,23.75,0.92436826,dakhla-oued_ed-dahab
2022-10-16,-15.75,23.75,-1.0745484,dakhla-oued_ed-dahab
2022-11-16,-15.75,23.75,-2.4297225,dakhla-oued_ed-dahab
